run_id,city,city_slug,cell_id,hotspot_rank,p50,p10,p90,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,caution_reason,recommended_action
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4936,3752,0.0014377539545376,0.0013175853553815,0.0017013342234726,0.2669085811796562,0.3694916413201055,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1446,3757,0.001436607514515,0.001193214424796,0.0016712083514114,0.3327240890681053,0.2932080615834197,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4459,3759,0.0014356675861084,0.0011335303369488,0.0018137103861692,0.4737726586585016,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1193,3761,0.0014349461299031,0.0010955876193703,0.0017445611625982,0.4522633496155612,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z209,3762,0.0014341822819905,0.0011785493598499,0.0016313402295389,0.3157136128194945,0.3129240838842616,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z601,3762,0.0014341822819905,0.001181688461139,0.0016313402295389,0.31352483854132,0.3154609865464384,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4262,3766,0.0014336452859478,0.0012135394695561,0.0016876903968342,0.3307309917771102,0.295518164490751,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4562,3766,0.0014336452859478,0.0012136296431116,0.0016894522625704,0.3318970348681747,0.2941666602029714,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z3858,3770,0.0014331397087476,0.0011456639380401,0.0017343775767911,0.4107859374473959,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z2294,3773,0.0014321988071365,0.0012290555393444,0.0022149438422591,0.6883739170861348,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; wide prediction interval; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
