run_id,city,city_slug,cell_id,hotspot_rank,p50,p10,p90,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,stability_reason,planning_use_case
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1543,43,1812.939779893708,1798.460105147907,1857.8036560594965,0.0327333271461829,0.7520408788848624,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z809,44,1812.030707979406,1796.990500179843,1895.0126646773397,0.0540952005205259,0.7268058228752954,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1687,45,1809.7146833180025,1763.1499967780574,1865.240446030554,0.0564124556172136,0.7240684195994385,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1542,46,1809.3677827808872,1782.1378677661346,1833.373753355348,0.0283170099947654,0.7572579311873016,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z116,47,1809.1421512534096,1760.2781308511685,1885.2256334371648,0.069064502476729,0.709122393773866,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1207,48,1804.9740629074288,1779.7144504202042,1840.088451889277,0.0334486809033826,0.7511958222826979,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1015,49,1804.5484571829672,1778.2590944918118,1858.031599709227,0.0442063525087854,0.7384876463311955,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1616,50,1804.0621975059605,1736.27132468534,1854.8091075776756,0.0657060399892026,0.7130897887440352,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1079,53,1799.6921595556228,1778.8720979952304,1866.3388882264587,0.048600973097991,0.7332962244569979,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1016,56,1794.041534638522,1758.7166962127967,1827.592559692809,0.03839145423904,0.7453568605127195,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1403,57,1793.8170537734452,1745.0777685822288,1867.9393320746249,0.0684916910751551,0.7097990632563749,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z953,60,1791.4666772756432,1760.481315300107,1887.728141089217,0.0710294126054409,0.7068012201444331,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1544,63,1787.736675375332,1758.9350645973143,1843.3218799521012,0.0472031572194883,0.7349474823484264,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1012,64,1786.730365895565,1770.1062050954313,1861.521080229665,0.0511632179533778,0.7302694116254245,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1139,65,1785.0279830172708,1762.499053457831,1829.914306819552,0.0377670568770396,0.7460944691543488,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1274,68,1781.8744372628512,1761.8745575353275,1806.1144204175112,0.0248277106158729,0.7613798854615114,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1333,69,1779.5136815390345,1756.037984961447,1788.7261893773268,0.0183691784755536,0.7690094326198751,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z895,70,1778.8662750846706,1750.227984281885,1821.4051374042444,0.040012649696769,0.7434417214487747,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
