run_id,city,city_slug,hotspot_rank,cell_id,centroid_latitude,centroid_longitude,p10,p50,p90,uncertainty_width,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,planning_interpretation,verification_need
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,23,Z1482,43.27007625429663,76.94716975326946,1815.7731576771328,1850.7000698475088,1913.210819842672,97.43766216553897,0.052649083313412,0.7285141397479976,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,24,Z1622,43.26086647783588,76.95919660719703,1820.808901871644,1848.5139851772597,1883.811840161956,63.00293829031184,0.0340830195473313,0.7504464698767286,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,25,Z1075,43.23470071889486,76.90909698204946,1813.4135155193828,1846.0475211687508,1885.8511575285056,72.43764200912307,0.039239315986439,0.7443552705159507,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,28,Z1407,43.25218194091667,76.94043999083834,1791.7041575909398,1841.090297681484,1887.6292480381323,95.92509044719272,0.0521023279346987,0.7291600289152808,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,30,Z1336,43.24328667796867,76.9339990676171,1810.908537218328,1837.091777461318,1854.9611328291307,44.05259561080259,0.0239795290313034,0.7623818532860468,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,31,Z1014,43.23480329566228,76.90294256011435,1798.3099722998727,1834.7313636515976,1894.8777272408536,96.56775494098083,0.0526331848106556,0.7285329208539659,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,32,Z901,43.23050755046374,76.89049447303309,1798.190949812004,1830.248459478232,1890.952191139692,92.76124132768774,0.0506823217620039,0.730837500486895,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,33,Z1007,43.20330409461178,76.90196288143984,1792.9837954005402,1828.4926734667956,1927.4138601864183,134.430064785878,0.0735196081103243,0.7038595201381042,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,35,Z905,43.24850715107861,76.89105125120724,1801.0787165604272,1824.797933367464,1870.729888775823,69.6511722153959,0.0381692520260927,0.7456193508472942,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,36,Z846,43.1991095558179,76.88337044349821,1804.1083880029348,1821.951517668637,1865.2157733235344,61.10738532059979,0.0335395232683208,0.7510885090275782,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
